route,direction,station,headsign,headsign_en,only_if_next_station_is
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Osaki,渋谷・新宿方面,"For Shibuya, Shinjuku",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Gotanda,渋谷・新宿方面,"For Shibuya, Shinjuku",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Meguro,渋谷・新宿方面,"For Shibuya, Shinjuku",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Ebisu,渋谷・新宿方面,"For Shibuya, Shinjuku",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Shibuya,新宿・池袋方面,"For Shinjuku, Ikebukuro",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Harajuku,新宿・池袋方面,"For Shinjuku, Ikebukuro",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Yoyogi,新宿・池袋方面,"For Shinjuku, Ikebukuro",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Shinjuku,池袋・上野方面,"For Ikebukuro, Ueno",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.ShinOkubo,池袋・上野方面,"For Ikebukuro, Ueno",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Takadanobaba,池袋・上野方面,"For Ikebukuro, Ueno",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Mejiro,池袋・上野方面,"For Ikebukuro, Ueno",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Ikebukuro,上野・東京方面,"For Ueno, Tōkyō",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Otsuka,上野・東京方面,"For Ueno, Tōkyō",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Sugamo,上野・東京方面,"For Ueno, Tōkyō",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Komagome,上野・東京方面,"For Ueno, Tōkyō",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Tabata,上野・東京方面,"For Ueno, Tōkyō",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.NishiNippori,上野・東京方面,"For Ueno, Tōkyō",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Nippori,上野・東京方面,"For Ueno, Tōkyō",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Uguisudani,上野・東京方面,"For Ueno, Tōkyō",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Ueno,東京・品川方面,"For Tōkyō, Shinagawa",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Okachimachi,東京・品川方面,"For Tōkyō, Shinagawa",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Akihabara,東京・品川方面,"For Tōkyō, Shinagawa",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Kanda,東京・品川方面,"For Tōkyō, Shinagawa",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Tokyo,品川・渋谷方面,"For Shinagawa, Shibuya",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Yurakucho,品川・渋谷方面,"For Shinagawa, Shibuya",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Shimbashi,品川・渋谷方面,"For Shinagawa, Shibuya",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Hamamatsucho,品川・渋谷方面,"For Shinagawa, Shibuya",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Tamachi,品川・渋谷方面,"For Shinagawa, Shibuya",
JR-East.Yamanote,OuterLoop,JR-East.Yamanote.Shinagawa,渋谷・新宿方面,"For Shibuya, Shinjuku",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Osaki,品川・東京方面,"For Shinagawa, Tōkyō",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Shinagawa,東京・上野方面,"For Tōkyō, Ueno",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Tamachi,東京・上野方面,"For Tōkyō, Ueno",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Hamamatsucho,東京・上野方面,"For Tōkyō, Ueno",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Shimbashi,東京・上野方面,"For Tōkyō, Ueno",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Yurakucho,東京・上野方面,"For Tōkyō, Ueno",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Tokyo,上野・池袋方面,"For Ueno, Ikebukuro",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Kanda,上野・池袋方面,"For Ueno, Ikebukuro",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Akihabara,上野・池袋方面,"For Ueno, Ikebukuro",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Okachimachi,上野・池袋方面,"For Ueno, Ikebukuro",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Ueno,池袋・新宿方面,"For Ikebukuro, Shinjuku",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Uguisudani,池袋・新宿方面,"For Ikebukuro, Shinjuku",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Nippori,池袋・新宿方面,"For Ikebukuro, Shinjuku",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.NishiNippori,池袋・新宿方面,"For Ikebukuro, Shinjuku",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Tabata,池袋・新宿方面,"For Ikebukuro, Shinjuku",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Komagome,池袋・新宿方面,"For Ikebukuro, Shinjuku",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Sugamo,池袋・新宿方面,"For Ikebukuro, Shinjuku",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Otsuka,池袋・新宿方面,"For Ikebukuro, Shinjuku",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Ikebukuro,新宿・渋谷方面,"For Shinjuku, Shibuya",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Mejiro,新宿・渋谷方面,"For Shinjuku, Shibuya",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Takadanobaba,新宿・渋谷方面,"For Shinjuku, Shibuya",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.ShinOkubo,新宿・渋谷方面,"For Shinjuku, Shibuya",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Shinjuku,渋谷・品川方面,"For Shibuya, Shinagawa",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Yoyogi,渋谷・品川方面,"For Shibuya, Shinagawa",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Harajuku,渋谷・品川方面,"For Shibuya, Shinagawa",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Shibuya,品川・東京方面,"For Shinagawa, Tōkyō",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Ebisu,品川・東京方面,"For Shinagawa, Tōkyō",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Meguro,品川・東京方面,"For Shinagawa, Tōkyō",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Gotanda,品川・東京方面,"For Shinagawa, Tōkyō",
